impress,selfexpress,functional,cross,fashethus,xbar,age,educ,income
4.2857142857,4.8,4.1428571429,4,4.3333333333,4.2777777778,6,3,3
4.2857142857,4.6,4.7142857143,3.5,4.6666666667,4.3888888889,4,3,5
4.5714285714,3.6,4.5714285714,3,3.8333333333,3.6777777778,4,3,5
4.4285714286,5,4.4285714286,4.5,4,3.9888888889,4,5,2
4.2857142857,4.8,4.7142857143,4,4.6666666667,4.3222222222,5,3,4
4.4285714286,4.6,4.1428571429,3.25,3.5,3.7888888889,4,4,5
4.1428571429,3.2,4.1428571429,3.5,4.8333333333,3.8333333333,3,4,1
4.1428571429,4.8,3.7142857143,4,4,3.7333333333,4,3,3
3,4.4,3.1428571429,2.5,3.6666666667,3.5444444444,4,4,4
4,4.8,4.4285714286,4,4.5,4.4666666667,6,2,2
3.7142857143,4.6,4.2857142857,4.5,4,4.0777777778,3,5,1
4.5714285714,4.2,4.8571428571,4.5,4.6666666667,4.2,4,4,5
3.8571428571,3.8,3.7142857143,5,4.6666666667,3.9222222222,12,1,1
5,5,5,5,5,4.7,2,6,1
4.8571428571,3.2,4.8571428571,3,4.1666666667,4.2333333333,9,2,3
3.2857142857,3,2.8571428571,2.5,3,2.9777777778,3,4,5
3.5714285714,3.8,4,3.5,4.6666666667,3.7555555556,4,4,5
4.5714285714,4,4.2857142857,4.5,4.3333333333,4.3,3,2,3
4.1428571429,4,3.5714285714,4,3.5,3.9666666667,5,3,5
3,2.8,3.5714285714,2.75,3.5,3.6444444444,4,3,2
3.7142857143,4.4,3.5714285714,4.25,4,4.0444444444,6,3,3
4,4.8,4.4285714286,4.25,4.5,4.2,2,3,1
3.1428571429,3,2.5714285714,3,2.3333333333,2.8111111111,4,3,4
4.7142857143,4,3.5714285714,3.5,4.6666666667,4.2111111111,5,1,2
4.5714285714,4.6,4.5714285714,3.75,4.6666666667,4.0333333333,4,4,5
3,2.6,3.7142857143,2.5,4,3.2,4,1,2
4.7142857143,4.4,4,3.75,4.3333333333,4.0777777778,4,4,5
2.2857142857,3.8,2.8571428571,2,3,2.7222222222,3,3,4
4.4285714286,5,4.2857142857,4.75,4.8333333333,4.2,4,3,5
5,5,5,5,4.8333333333,4.7666666667,4,2,3
5,4.8,4.8571428571,4.5,5,4.2666666667,3,3,5
5,4.8,4.7142857143,4.25,4.6666666667,4.4333333333,7,3,2
2.2857142857,3.2,2.8571428571,2.25,2.6666666667,2.8888888889,6,2,4
4.8571428571,5,4.5714285714,4.75,3.8333333333,4.3111111111,6,2,5
4.4285714286,4.8,4.2857142857,4.5,4.6666666667,4.2666666667,4,4,5
3.1428571429,4.6,4,3.75,3.8333333333,3.5,3,3,2
4,4,4,4,4,3.8444444444,3,2,4
3.5714285714,4.2,3.8571428571,1.75,3.5,3.8111111111,5,5,5
4.2857142857,3.4,3.7142857143,3.75,3.8333333333,3.7888888889,3,3,5
3.4285714286,5,4.2857142857,4,3.6666666667,4.2444444444,5,2,3
2.4285714286,2.6,2.8571428571,3.5,4,3.2,3,2,4
4,4.2,5,3.25,4.6666666667,3.8222222222,4,3,3
3.1428571429,2.4,2.8571428571,3,3.1666666667,2.9666666667,5,3,5
